customer_id,NAME,NO_OF_TICKETS
27,"Cherly Vernon",1
22,"Pheny Eri",1
21,"Chirsty Josh",1
28,"Du plesis Chris",1
31,"James Robert",1
7,"Anderson Stewart",1
32,"Chirstoper Sean",1
33,"Mark Ethan",1
10,"Melvin Tracy",1
49,"Russell Peter",1
50,"Rose Arthur",1
13,"Solomon Walter",1
44,"Bily Brian",1
47,"Sophia Carl",1
16,"Chirstine Willis",1
17,"Catherine Shad",1
41,"Kyle Mark",1
24,"Calvin Willis",1
15,"Linda William",1
4,"Cathenna Emily",2
8,"Floyd Ted",2
9,"Leo Travis",2
14,"Carol Vernon",2
25,"Moss Morris",2
29,"Watson Ronald",2
1,"Julie Sam",2
2,"Steve Ryan",2
46,"Louis Douglas",2
20,"Sara Oliver",2
18,"Gloria Richie",2
5,"Aaron Kim",3
11,"Roger Walson",3
19,"Joyce Paul",3
