EMP_ID,FIRST_NAME,LAST_NAME,GENDER,DEPT
E001,Arthur,Black,M,ALL
E005,Eric,Hoffman,M,FINANCE
E010,William,Butler,M,AUTOMOTIVE
E052,Dianna,Wilson,F,HEALTHCARE
E057,Dorothy,Wilson,F,HEALTHCARE
E083,Patrick,Voltz,M,HEALTHCARE
E103,Emily,Grove,F,FINANCE
E204,Karene,Nowak,F,AUTOMOTIVE
E245,Nian,Zhen,M,RETAIL
E260,Roy,Collins,M,RETAIL
E403,Steve,Hoffman,M,FINANCE
E428,Pete,Allen,M,AUTOMOTIVE
E478,David,Smith,M,RETAIL
E505,Chad,Wilson,M,HEALTHCARE
E532,Claire,Brennan,F,AUTOMOTIVE
E583,Janet,Hale,F,RETAIL
E612,Tracy,Norris,F,RETAIL
E620,Katrina,Allen,F,RETAIL
E640,Jenifer,Jhones,F,RETAIL
