EMP_ID,FIRST_NAME,LAST_NAME,GENDER,ROLE,DEPT,EXP,COUNTRY,CONTINENT,SALARY,EMP_RATING,MANAGER_ID,PROJ_ID,New_Salary
E001,Arthur,Black,M,PRESIDENT,ALL,20,USA,"NORTH AMERICA",16500,5,NULL,NULL,20625.00
E005,Eric,Hoffman,M,"LEAD DATA SCIENTIST",FINANCE,11,USA,"NORTH AMERICA",8500,3,E103,P105,9775.00
E010,William,Butler,M,"LEAD DATA SCIENTIST",AUTOMOTIVE,12,FRANCE,EUROPE,9000,2,E428,P204,9900.00
E052,Dianna,Wilson,F,"SENIOR DATA SCIENTIST",HEALTHCARE,6,CANADA,"NORTH AMERICA",5500,5,E083,P103,6875.00
E057,Dorothy,Wilson,F,"SENIOR DATA SCIENTIST",HEALTHCARE,9,USA,"NORTH AMERICA",7700,1,E083,P302,8085.00
E083,Patrick,Voltz,M,MANAGER,HEALTHCARE,15,USA,"NORTH AMERICA",9500,5,E001,NULL,11875.00
E103,Emily,Grove,F,MANAGER,FINANCE,14,CANADA,"NORTH AMERICA",10500,4,E001,NULL,12600.00
E204,Karene,Nowak,F,"SENIOR DATA SCIENTIST",AUTOMOTIVE,8,GERMANY,EUROPE,7500,5,E428,P204,9375.00
E245,Nian,Zhen,M,"SENIOR DATA SCIENTIST",RETAIL,6,CHINA,ASIA,6500,2,E583,P109,7150.00
E260,Roy,Collins,M,"SENIOR DATA SCIENTIST",RETAIL,7,INDIA,ASIA,7000,3,E583,NA,8050.00
E403,Steve,Hoffman,M,"ASSOCIATE DATA SCIENTIST",FINANCE,4,USA,"NORTH AMERICA",5000,3,E103,P105,5750.00
E428,Pete,Allen,M,MANAGER,AUTOMOTIVE,14,GERMANY,EUROPE,11000,4,E001,NULL,13200.00
E478,David,Smith,M,"ASSOCIATE DATA SCIENTIST",RETAIL,3,COLOMBIA,"SOUTH AMERICA",4000,4,E583,P109,4800.00
E505,Chad,Wilson,M,"ASSOCIATE DATA SCIENTIST",HEALTHCARE,5,CANADA,"NORTH AMERICA",5000,2,E083,P103,5500.00
E532,Claire,Brennan,F,"ASSOCIATE DATA SCIENTIST",AUTOMOTIVE,3,GERMANY,EUROPE,4300,1,E428,P204,4515.00
E583,Janet,Hale,F,MANAGER,RETAIL,14,COLOMBIA,"SOUTH AMERICA",10000,2,E001,NULL,11000.00
E612,Tracy,Norris,F,MANAGER,RETAIL,13,INDIA,ASIA,8500,4,E001,NULL,10200.00
E620,Katrina,Allen,F,"JUNIOR DATA SCIENTIST",RETAIL,2,INDIA,ASIA,3000,1,E612,P406,3150.00
E640,Jenifer,Jhones,F,"JUNIOR DATA SCIENTIST",RETAIL,1,COLOMBIA,"SOUTH AMERICA",2800,4,E612,P406,3360.00
