EMP_ID,FIRST_NAME,LAST_NAME,SALARY,COUNTRY,CONTINENT,AVG_SALARY_IN_COUNTRY,AVG_SALARY_IN_CONTINENT,COUNT_IN_COUNTRY,COUNT_IN_CONTINENT
E245,Nian,Zhen,6500,CHINA,ASIA,6500.0000,6250.0000,1,4
E260,Roy,Collins,7000,INDIA,ASIA,6166.6667,6250.0000,3,4
E612,Tracy,Norris,8500,INDIA,ASIA,6166.6667,6250.0000,3,4
E620,Katrina,Allen,3000,INDIA,ASIA,6166.6667,6250.0000,3,4
E010,William,Butler,9000,FRANCE,EUROPE,9000.0000,7950.0000,1,4
E204,Karene,Nowak,7500,GERMANY,EUROPE,7600.0000,7950.0000,3,4
E428,Pete,Allen,11000,GERMANY,EUROPE,7600.0000,7950.0000,3,4
E532,Claire,Brennan,4300,GERMANY,EUROPE,7600.0000,7950.0000,3,4
E052,Dianna,Wilson,5500,CANADA,"NORTH AMERICA",7000.0000,8525.0000,3,8
E103,Emily,Grove,10500,CANADA,"NORTH AMERICA",7000.0000,8525.0000,3,8
E505,Chad,Wilson,5000,CANADA,"NORTH AMERICA",7000.0000,8525.0000,3,8
E001,Arthur,Black,16500,USA,"NORTH AMERICA",9440.0000,8525.0000,5,8
E005,Eric,Hoffman,8500,USA,"NORTH AMERICA",9440.0000,8525.0000,5,8
E057,Dorothy,Wilson,7700,USA,"NORTH AMERICA",9440.0000,8525.0000,5,8
E083,Patrick,Voltz,9500,USA,"NORTH AMERICA",9440.0000,8525.0000,5,8
E403,Steve,Hoffman,5000,USA,"NORTH AMERICA",9440.0000,8525.0000,5,8
E478,David,Smith,4000,COLOMBIA,"SOUTH AMERICA",5600.0000,5600.0000,3,3
E583,Janet,Hale,10000,COLOMBIA,"SOUTH AMERICA",5600.0000,5600.0000,3,3
E640,Jenifer,Jhones,2800,COLOMBIA,"SOUTH AMERICA",5600.0000,5600.0000,3,3
